00:30,Mayormente cubierto,13°C,4 km/h,88%,1022 hPa
00:00,Mayormente cubierto,13°C,6 km/h,88%,1022 hPa
23:30,Mayormente cubierto,13°C,7 km/h,88%,1022 hPa
23:00,Mayormente cubierto,13°C,11 km/h,94%,1022 hPa
22:30,Parcialmente cubierto,13°C,7 km/h,94%,1022 hPa
22:00,Mayormente cubierto,13°C,7 km/h,94%,1021 hPa
19:30,Mayormente cubierto,14°C,7 km/h,88%,1021 hPa
19:00,Mayormente cubierto,14°C,11 km/h,88%,1021 hPa
18:30,Mayormente cubierto,14°C,11 km/h,88%,1021 hPa
18:00,Mayormente cubierto,14°C,11 km/h,88%,1021 hPa
17:30,Mayormente cubierto,14°C,4 km/h,88%,1020 hPa
17:00,Mayormente cubierto,15°C,2 km/h,82%,1020 hPa
16:30,Mayormente cubierto,14°C,2 km/h,82%,1021 hPa
16:00,Cielo cubierto,14°C,En calma,82%,1021 hPa
15:30,Cielo cubierto,13°C,2 km/h,88%,1021 hPa
15:00,Cielo cubierto,13°C,4 km/h,94%,1021 hPa
14:30,Cielo cubierto,13°C,4 km/h,88%,1021 hPa
14:00,Cielo cubierto,12°C,2 km/h,94%,1022 hPa
13:30,Cielo cubierto,12°C,6 km/h,94%,1022 hPa
13:00,Llovizna,12°C,6 km/h,94%,1022 hPa
12:30,Lluvia ligera,12°C,7 km/h,94%,1022 hPa
12:00,Llovizna,11°C,6 km/h,94%,1022 hPa
11:30,Lluvia ligera,11°C,4 km/h,94%,1022 hPa
11:00,Lluvia ligera,11°C,6 km/h,94%,1022 hPa
10:30,Lluvia ligera,11°C,4 km/h,94%,1022 hPa
10:00,Lluvia ligera,11°C,6 km/h,94%,1021 hPa
09:30,Lluvia ligera,11°C,6 km/h,94%,1021 hPa
09:00,Lluvia ligera,10°C,6 km/h,100%,1021 hPa
08:30,Lluvia ligera,10°C,6 km/h,100%,1021 hPa
08:00,Lluvia,11°C,6 km/h,94%,1020 hPa
07:30,Lluvia,11°C,2 km/h,100%,1020 hPa
07:00,Lluvia,11°C,2 km/h,100%,1020 hPa
06:30,Lluvia,11°C,4 km/h,94%,1020 hPa
06:00,Lluvia,11°C,2 km/h,100%,1020 hPa
05:30,Lluvia,11°C,4 km/h,100%,1020 hPa
05:00,Lluvia,11°C,2 km/h,100%,1020 hPa
04:30,Lluvia,12°C,2 km/h,94%,1020 hPa
04:00,Lluvia,12°C,En calma,94%,1020 hPa
03:30,Lluvia,12°C,2 km/h,100%,1020 hPa
03:00,Lluvia,12°C,En calma,100%,1021 hPa
02:30,Lluvia ligera,12°C,2 km/h,100%,1021 hPa
02:00,Lluvia ligera,12°C,En calma,100%,1021 hPa
01:30,Lluvia ligera,12°C,En calma,100%,1021 hPa
01:00,Lluvia ligera,12°C,4 km/h,100%,1021 hPa
00:30,Lluvia ligera,12°C,6 km/h,100%,1021 hPa
00:00,Lluvia ligera,13°C,7 km/h,94%,1021 hPa
